"Concepto","Economía"
"administración de personal","n"
"administración de portafolios","s"
"administración de proyectos","s"
"administración de recursos","s"
"administración de riesgos","s"
"administración de ventas","s"
"administración del capital","s"
"administración del flujo","s"
"administración del personal","n"
"administración del presupuesto","s"
"administración financiera","s"
"administración general","s"
"administración o carreras","n"
"administración o carreras afines","s"
"administración o contabilidad","n"
"administración o economía","s"
"administración o finanzas","s"
"administración o ingeniería","n"
"administración pública","s"
"administración tributaria","n"
"administración y calificación","n"
"administración y contabilidad","n"
"administración y control","n"
"administración y dirección","n"
"administración y economía","s"
"administracion y finanzas","s"
"administración y finanzas","s"
"administración y gestión","n"
"administración y logística","n"
"administración y seguimiento","n"
"administrada","n"
"administrador","n"
"administrador de agencia","n"
"administrador de contratos","n"
"administrador de cuentas","s"
"administrador de obra","n"
"administrador de proyectos","s"
"administrador de ventas","n"
"administradora","n"
"administradores","n"
"administrados","n"
"administrando","n"
"administrar","n"
"administrar","n"
"administrativa","n"
"administrativas","n"
"administrative","n"
"administrativo","n"
"administrativos","n"
"admisión","n"
"admisión de riesgos","s"
"adopción","n"
"adoptar","n"
"adquiridos","n"
"adquirir","n"
"adquisición","n"
"adquisición de bienes","s"
"adquisición de materiales","n"
"adquisiciones","n"
"adquisiciones del estado","n"
"adquisiciones y contrataciones","n"
"aduana","s"
"aduanas","s"
"aduaneros","n"
"aeropuerto","n"
"aeropuertos","n"
"afectan","b"
"afectar","b"
"afectas","b"
"afecten","b"
"afianzar","b"
"afiliación","b"
"afiliaciones","b"
"afiliadas","b"
"afiliados","b"
"afín","b"
"afines","b"
"afinidad","b"
"afps","b"
"áfrica","b"
"agencia","b"
"agencia o jefe","b"
"agencias","b"
"agencias a nivel","b"
"agencias bancarias","s"
"agencias de publicidad","b"
"agencies","b"
"agenda","b"
"agendar","b"
"agendas","b"
"agente","b"
"agentes","b"
"agentes de bolsa","s"
"agilizar","b"
"agradable","b"
"agregado","b"
"agregados","b"
"agregar","b"
"agregar valor","s"
"agrícola","b"
"agrícolas","b"
"agricultura","b"
"agro","b"
"agroindustrial","s"
"agroindustriales","s"
"agua","s"
"ahorro","s"
"ahorro e inversión","s"
"ahorros","s"
"ai","b"
"ajustada","n"
"ajustar","n"
"ajuste","n"
"ajuste de cuentas","s"
"ajustes","n"
"ajustes necesarios","n"
"ajustes requeridos","n"
"ajustes y bonos","n"
"alcance","n"
"alcances","n"
"alcanzada","n"
"alcanzar","n"
"alcanzar objetivos","s"
"alerta","n"
"alertar","n"
"alertas","n"
"alguna","n"
"aliado","n"
"aliados","n"
"alianza","n"
"alianzas","n"
"alianzas comerciales","n"
"alianzas estratégicas","n"
"alicorp","n"
"alimentación","n"
"alimentación cubierta","n"
"alimentar","n"
"alimentaria","n"
"alimentos","n"
"alineadas","n"
"alineado","n"
"alineados","b"
"alineamiento","n"
"alinear","n"
"all","n"
"alm","n"
"almacén","b"
"almacenados","n"
"almacenaje","n"
"almacenamiento","n"
"almacenes","n"
"almuerzo","n"
"alquiler","n"
"alquileres","n"
"alta","n"
"alta","n"
"altas","n"
"alternativa","n"
"alternativa de financiamiento","s"
"alternativas","b"
"alternativas de compra","b"
"alternativas de financiamiento","s"
"alternativas de inversión","s"
"alternativas de mejora","s"
"alternativas de solución","b"
"alternativos","n"
"alto","n"
"altos","n"
"alumno","n"
"alumnos","b"
"alumnos egresados","b"
"am","b"
"ambiental","b"
"ambientales","b"
"ambiente","b"
"ambiente de trabajo","n"
"ambiente laboral","n"
"ambientes","n"
"ámbito","n"
"ámbito de acción","b"
"ámbito nacional","s"
"ámbitos","n"
"amenazas","n"
"america","b"
"américa","b"
"américa latina","b"
"aml","n"
"amortización","s"
"amplia","n"
"ampliación","n"
"ampliaciones","n"
"ampliar","n"
"amplio","n"
"amplios","n"
"analisis","s"
"análisis","s"
"análisis","s"
"análisis comercial","s"
"análisis contable","s"
"análisis cualitativo","s"
"análisis cuantitativo","s"
"análisis cuantitativos","s"
"análisis de base","s"
"análisis de bases","s"
"análisis de campañas","s"
"análisis de cartera","s"
"análisis de coberturas","s"
"análisis de comportamiento","s"
"análisis de cosechas","s"
"análisis de costos","s"
"análisis de crédito","s"
"análisis de créditos","s"
"análisis de cuentas","s"
"análisis de datos","s"
"análisis de desviaciones","s"
"análisis de eeff","s"
"análisis de estados","s"
"análisis de flujo","s"
"análisis de flujos","s"
"análisis de gastos","s"
"análisis de gestión","s"
"análisis de impacto","s"
"análisis de indicadores","s"
"análisis de información","s"
"análisis de informes","s"
"análisis de inversiones","s"
"análisis de mercado","s"
"análisis de mercados","s"
"análisis de oportunidades","s"
"análisis de precios","s"
"análisis de presupuesto","s"
"análisis de presupuestos","s"
"análisis de procesos","s"
"análisis de productos","s"
"análisis de propuestas","s"
"análisis de proyectos","s"
"análisis de ratios","s"
"análisis de rentabilidad","s"
"análisis de reportes","s"
"análisis de resultados","s"
"análisis de riesgo","s"
"análisis de riesgos","s"
"análisis de sensibilidad","s"
"análisis de situación","n"
"análisis de tendencias","s"
"análisis de variables","s"
"análisis de variaciones","s"
"análisis de ventas","s"
"análisis de viabilidad","s"
"análisis del cliente","n"
"análisis del comportamiento","s"
"análisis del mercado","s"
"análisis del negocio","s"
"análisis del presupuesto","s"
"análisis e información","s"
"análisis e interpretación","s"
"análisis e investigación","s"
"análisis económico","s"
"análisis económicos","s"
"análisis específicos","s"
"análisis estadístico","s"
"análisis estadísticos","s"
"análisis estratégico","s"
"analisis financiero","s"
"análisis financiero","s"
"análisis financieros","s"
"análisis funcional","n"
"análisis macroeconómico","s"
"análisis mensual","s"
"análisis numérico","s"
"análisis sectorial","s"
"análisis técnico","n"
"análisis y adjudicación","n"
"análisis y control","s"
"análisis y desarrollo","s"
"análisis y diseño","n"
"análisis y elaboración","n"
"análisis y evaluación","n"
"análisis y gestión","n"
"análisis y manejo","n"
"análisis y participación","n"
"análisis y participación activa","n"
"análisis y preparación","n"
"análisis y presentación","n"
"análisis y proyección","s"
"análisis y revisión","s"
"análisis y seguimiento","n"
"análisis y síntesis","s"
"análisis y validación","n"
"analista","s"
"analista comercial","s"
"analista contable","s"
"analista de administración","s"
"analista de auditoría","s"
"analista de cobranzas","s"
"analista de compensaciones","n"
"analista de compras","s"
"analista de control","s"
"analista de costos","s"
"analista de crédito","s"
"analista de créditos","s"
"analista de cuentas","s"
"analista de cumplimiento","s"
"analista de desarrollo","s"
"analista de estrategia","s"
"analista de estudios","s"
"analista de finanzas","s"
"analista de gestion","s"
"analista de gestión","s"
"analista de información","s"
"analista de inteligencia","s"
"analista de inversiones","s"
"analista de investigación","s"
"analista de marketing","n"
"analista de mercado","s"
"analista de negocios","s"
"analista de operaciones","n"
"analista de planeamiento","s"
"analista de planificación","s"
"analista de planillas","n"
"analista de precios","s"
"analista de presupuesto","s"
"analista de presupuestos","s"
"analista de procesos","s"
"analista de producto","s"
"analista de productos","s"
"analista de proyectos","s"
"analista de recursos","s"
"analista de rentabilidad","s"
"analista de riesgo","s"
"analista de riesgos","s"
"analista de seguimiento","s"
"analista de servicios","s"
"analista de suscripción","n"
"analista de tesoreria","s"
"analista de tesorería","s"
"analista de ventas","s"
"analista económico","s"
"analista en áreas","b"
"analista financiero","s"
"analista junior","s"
"analista o asistente","s"
"analista o especialista","s"
"analista principal","s"
"analista safi","s"
"analista sr.","s"
"analista técnico","n"
"analistas","s"
"analistas y miembros","s"
"analítica","b"
"analíticas","s"
"analítico","b"
"analíticos","b"
"analiza","b"
"analiza información","s"
"analizada","s"
"analizando","s"
"analizar","b"
"analizar","b"
"analizar alternativas","b"
"analizar datos","s"
"analizar desviaciones","s"
"analizar estados","s"
"analizar indicadores","s"
"analizar información","s"
"analizar propuestas","s"
"analizar reportes","s"
"analysis","s"
"analyst","s"
"analytical","s"
"analytics","s"
"andina","b"
"anexo","b"
"anexos","b"
"anexos y reportes","s"
"anita","b"
"annual","n"
"antecedentes","n"
"anterior","n"
"anteriores","n"
"anticipar","n"
"anticiparse","n"
"anticipos","n"
"antigüedad","b"
"antiguos","n"
"antropología","n"
"anual","n"
"anuales","n"
"anulaciones","n"
"año","n"
"año anterior","n"
"año como analista","b"
"año como asistente","b"
"año como jefe","n"
"año como mínimo","n"
"año de experiencia","n"
"año de prácticas","b"
"año en áreas","n"
"año en cargos","n"
"año en empresas","n"
"año en funciones","n"
"año en posiciones","n"
"año en puesto","n"
"año en puestos","n"
"año en ventas","n"
"año y medio","n"
"años","n"
"años como administrador","n"
"años como analista","b"
"años como asistente","b"
"años como auditor","n"
"años como coordinador","n"
"años como ejecutivo","n"
"años como ejecutivo comercial","n"
"años como especialista","b"
"años como funcionario","n"
"años como gerente","n"
"años como jefe","n"
"años como mínimo","n"
"años de experiencia","n"
"años en actividades","n"
"años en administración","n"
"años en análisis","b"
"años en área","n"
"años en áreas","n"
"años en auditoría","n"
"años en banca","b"
"años en cargos","n"
"años en compañías","n"
"años en consultoría","n"
"años en control","n"
"años en créditos","b"
"años en desarrollo","b"
"años en desempeño","n"
"años en elaboración","n"
"años en empresas","n"
"años en entidades","n"
"años en evaluación","b"
"años en finanzas","b"
"años en funciones","n"
"años en gestión","n"
"años en instituciones","n"
"años en jefaturas","n"
"años en labores","n"
"años en manejo","n"
"años en mercados","n"
"años en planeamiento","n"
"años en posiciones","n"
"años en procesos","n"
"años en proyectos","n"
"años en puesto","n"
"años en puestos","n"
"años en temas","n"
"años en tesorería","n"
"años en ventas","n"
"apertura","n"
"apertura de cuentas","n"
"aperturas","n"
"apetito","n"
"apetito de riesgo","b"
"aplica","b"
"aplicable","b"
"aplicables","b"
"aplicación","b"
"aplicación de metodologías","s"
"aplicaciones","b"
"aplicaciones informáticas","b"
"aplicada","b"
"aplicadas","b"
"aplicados","b"
"aplicando","b"
"aplicando tic","b"
"aplicar","b"
"aplicarse","b"
"aplicativo","b"
"aplicativos","b"
"aplicativos del banco","s"
"aplique","n"
"apliquen","n"
"apoderado","n"
"aportación","n"
"aportación de valor","n"
"aportando","n"
"aportar","n"
"aporte","n"
"aporten","n"
"aportes","n"
"apoya","n"
"apoyando","n"
"apoyar","n"
"apoyar","n"
"apoyar al analista","s"
"apoyar al área","b"
"apoyar al coordinador","s"
"apoyar al ejecutivo","s"
"apoyar al equipo","s"
"apoyar al gerente","s"
"apoyar al jefe","s"
"apoyar en actividades","n"
"apoyar en temas","b"
"apoyen","n"
"apoyo","n"
"apoyo","n"
"apoyo a labores","n"
"apoyo administrativo","s"
"apoyo al área","n"
"apoyo al desarrollo","s"
"apoyo directo","n"
"apoyo en actividades","n"
"apoyo en análisis","s"
"apoyo en desarrollo","s"
"apoyo en elaboración","n"
"apoyo en eventos","n"
"apoyo en gestiones","s"
"apoyo en labores","n"
"apoyo en proyectos","s"
"apoyo en seguimiento","n"
"apoyo en temas","n"
"apoyo logístico","n"
"apoyo operativo","n"
"aprender","n"
"aprendidas","n"
"aprendizaje","n"
"aprendizajes","n"
"aprobación","n"
"aprobación de ajustes","n"
"aprobación de créditos","s"
"aprobación de pagos","s"
"aprobación o negación","n"
"aprobaciones","n"
"aprobaciones escritas","n"
"aprobada","n"
"aprobadas","n"
"aprobado","n"
"aprobados","n"
"aprobar","n"
"aprobarán","n"
"apropiada","n"
"apropiadas","n"
"aprovechamiento","n"
"aprovechar","n"
"aprovisionamiento","n"
"aptitud","n"
"ar","n"
"archivar","b"
"archivo","n"
"archivo de documentación","n"
"archivo de documentos","n"
"archivo físico","n"
"archivos","n"
"archivos comerciales","n"
"archivos utilizados","n"
"area","n"
"área","n"
"área administrativa","s"
"area comercial","s"
"área comercial","s"
"área contable","s"
"área correspondiente","n"
"área de abastecimiento","n"
"área de actuación","n"
"área de administración","s"
"área de cobranzas","s"
"área de compensaciones","n"
"área de compras","s"
"área de contabilidad","s"
"área de control","s"
"área de costos","s"
"área de créditos","s"
"área de desarrollo","s"
"área de estudio","n"
"área de facturación","n"
"área de finanzas","s"
"área de gestión","s"
"área de incubación","n"
"área de influencia","n"
"área de inteligencia","s"
"área de inversiones","s"
"área de logística","s"
"área de mantenimiento","n"
"área de marketing","n"
"área de negocios","s"
"área de operaciones","n"
"área de planeamiento","s"
"área de presupuestos","s"
"área de procesos","n"
"área de productos","s"
"área de proyectos","s"
"área de recursos","s"
"área de riesgos","s"
"área de rrhh","n"
"área de servicio","n"
"área de sistemas","n"
"área de tesorería","s"
"área de trabajo","n"
"área de ventas","s"
"área financiera","s"
"área funcional","n"
"área legal","n"
"área practicante","n"
"área responsable","n"
"areas","n"
"áreas","n"
"áreas administrativas","s"
"áreas afines","n"
"áreas comercial","s"
"áreas comerciales","s"
"áreas correspondientes","n"
"áreas de administración","s"
"áreas de análisis","s"
"áreas de apoyo","n"
"áreas de auditoría","n"
"áreas de banca","s"
"áreas de capacitación","n"
"áreas de cobranzas","s"
"áreas de compras","s"
"áreas de contabilidad","s"
"áreas de control","s"
"áreas de créditos","s"
"áreas de especialización","n"
"áreas de estrategia","s"
"áreas de finanzas","s"
"áreas de gestión","s"
"áreas de inteligencia","s"
"áreas de logística","s"
"áreas de marketing","n"
"áreas de mejora","n"
"áreas de negocio","n"
"áreas de negocios","s"
"áreas de operaciones","s"
"áreas de planeamiento","s"
"áreas de planificación","s"
"áreas de producto","s"
"áreas de productos","s"
"áreas de proyectos","s"
"áreas de recursos","s"
"áreas de riesgos","s"
"áreas de soporte","n"
"áreas de tesorería","s"
"áreas de ventas","s"
"áreas del banco","s"
"áreas del bcp","s"
"áreas del negocio","s"
"áreas financieras","s"
"áreas funcionales","n"
"áreas internas","n"
"áreas operativas","n"
"áreas relacionadas","n"
"áreas respectivas","n"
"áreas similares","n"
"áreas técnicas","n"
"áreas usuarias","n"
"arequipa","b"
"argentina","b"
"argumentar","n"
"armado","b"
"armando","b"
"armando ppt","n"
"armar","b"
"arqueo","b"
"arqueos","b"
"arqueos de caja","n"
"arquitectura","n"
"arrendamiento","n"
"articulación","n"
"artículo","n"
"artículos","n"
"asbanc","n"
"ascendente","b"
"ascenso","n"
"asegura","b"
"asegurador","n"
"aseguradoras","n"
"asegurados","n"
"aseguramiento","n"
"aseguramiento de ingresos","b"
"asegurando","b"
"asegurándose","b"
"asegurar","n"
"asegurar","n"
"asegurar precisión","b"
"asegurarse","b"
"asegure","b"
"aseguren","n"
"asertiva","b"
"asesor","b"
"asesor comercial","s"
"asesor de inversiones","s"
"asesor de servicio","n"
"asesor de servicios","n"
"asesor de ventas","n"
"asesor financiero","s"
"asesor técnico","n"
"asesora","n"
"asesoramiento","n"
"asesoramiento en temas","n"
"asesorando","b"
"asesorándolos","b"
"asesorar","b"
"asesorar","b"
"asesorarlos","b"
"asesores","b"
"asesores comerciales","s"
"asesores de negocios","s"
"asesoría","b"
"asesoría al cliente","n"
"asesoría comercial","n"
"asesoría empresarial","n"
"asesoría especializada","n"
"asesoría financiera","s"
"asesoría legal","n"
"asesorías","n"
"asi","b"
"asia","b"
"asientos","b"
"asientos contables","n"
"asignación","n"
"asignación","n"
"asignación de costos","s"
"asignación de gastos","s"
"asignación de líneas","n"
"asignación de recursos","s"
"asignaciones","n"
"asignada","n"
"asignadas","n"
"asignado","n"
"asignados","n"
"asignando","n"
"asignar","n"
"asigne","n"
"asignen","n"
"asiste","n"
"asistencia","n"
"asistencia del personal","n"
"asistencias","n"
"asistente","n"
"asistente administrativa","s"
"asistente administrativo","s"
"asistente comercial","s"
"asistente contable","s"
"asistente de administración","s"
"asistente de banca","s"
"asistente de cobranza","s"
"asistente de cobranzas","s"
"asistente de compras","s"
"asistente de control","s"
"asistente de costos","s"
"asistente de créditos","s"
"asistente de facturación","s"
"asistente de finanzas","s"
"asistente de gerencia","s"
"asistente de gestión","s"
"asistente de inteligencia","s"
"asistente de investigación","s"
"asistente de negocios","s"
"asistente de operaciones","s"
"asistente de planeamiento","s"
"asistente de planillas","n"
"asistente de precios","s"
"asistente de proyectos","s"
"asistente de recursos","s"
"asistente de riesgos","s"
"asistente de siniestros","n"
"asistente de suscripción","n"
"asistente de tesoreria","n"
"asistente de tesorería","s"
"asistente de ventas","s"
"asistente financiero","s"
"asistente o analista","s"
"asistentes","n"
"asistir","n"
"asistir","n"
"asistir al funcionario","n"
"asociación","n"
"asociaciones","n"
"asociaciones público","s"
"asociadas","n"
"asociado","n"
"asociados","n"
"aspecto","n"
"aspectos","n"
"aspectos administrativos","n"
"aspectos crediticios","s"
"aspectos económicos","s"
"aspectos financieros","s"
"aspectos laborales","n"
"aspectos legales","n"
"aspectos relacionados","n"
"aspectos societarios","n"
"asset","n"
"assistant","s"
"assurance","n"
"asumido","n"
"asumidos","n"
"asumiendo","n"
"asumir","n"
"asunto","n"
"asuntos","n"
"asuntos relacionados","n"
"ate","n"
"atencion","n"
"atención","n"
"atención","n"
"atención a clientes","n"
"atención al cliente","n"
"atención al detalle","n"
"atención al usuario","n"
"atención de casos","n"
"atención de clientes","n"
"atención de consultas","n"
"atención de reclamos","n"
"atención de requerimientos","n"
"atención de solicitudes","n"
"atención del cliente","n"
"atención directa","n"
"atención en ventanilla","n"
"atención oportuna","n"
"atención telefónica","n"
"atención y seguimiento","n"
"atención y servicio","n"
"atenciones","n"
"atender","n"
"atender","n"
"atender consultas","n"
"atender llamadas","n"
"atender requerimientos","n"
"atender solicitudes","n"
"atendidos","n"
"atendiendo","n"
"atento","n"
"atiende","n"
"atiende solicitudes","n"
"atms","n"
"atracción","n"
"atractiva","n"
"atractivo","n"
"atraer","n"
"atraso","n"
"atributos","b"
"audiencias","b"
"audit","b"
"auditado","b"
"auditados","n"
"auditar","b"
"auditor","b"
"auditor interno","b"
"auditor junior","b"
"auditoras","b"
"auditores","b"
"auditores externos","b"
"auditoria","b"
"auditoría","b"
"auditoría de procesos","b"
"auditoría externa","b"
"auditoría financiera","s"
"auditoría interna","b"
"auditoría y cumplimiento","b"
"auditorias","b"
"auditorías","b"
"auditorías financieras","s"
"auditorías internas","b"
"auditorías realizadas","b"
"aula","b"
"aulas","b"
"aumentar","b"
"aumento","b"
"ausencia","b"
"auspiciadores","b"
"auto","b"
"autocad","n"
"autoevaluación","b"
"automática","n"
"automáticos","n"
"automatización","b"
"automatización de procesos","s"
"automatización de reportes","s"
"automatizados","b"
"automatizar","b"
"automatizar procesos","b"
"automotriz","n"
"autónoma","b"
"autonomía","b"
"autonomías","b"
"autoridad","b"
"autoridad nacional","b"
"autoridades","b"
"autoridades locales","b"
"autorización","b"
"autorizaciones","b"
"autorizadas","b"
"autorizado","b"
"autorizados","b"
"autorizar","b"
"autoseguros","b"
"autoservicios","b"
"auxiliar","b"
"auxiliar (","n"
"av","b"
"avance","b"
"avance de ventas","b"
"avances","b"
"avances semanales","s"
"avanzado","b"
"avanzado (","n"
"avanzado de excel","s"
"avanzado de herramientas","n"
"avanzado de inglés","s"
"avanzado de microsoft","s"
"avanzado de riesgo","s"
"avanzado del idioma","s"
"avanzado del paquete","s"
"avanzado en excel","s"
"avanzado experiencia","n"
"avanzado inglés","s"
"avanzado manejo","n"
"avanzados","n"
"avanzando","n"
"aviso","n"
"ayacucho","n"
"ayuda","n"
"ayudando","n"
"ayudar","n"
"ayudas","n"
"ayuden","n"
"b","b"
"b.","b"
"b2b","b"
"bachiller","s"
"bachiller","s"
"bachiller en administración","n"
"bachiller en contabilidad","n"
"bachiller en economía","s"
"bachiller en ingeniería","n"
"bachiller o licenciado","n"
"back","n"
"backoffice","n"
"baja","n"
"bajas","n"
"balance","s"
"balance general","s"
"balance score","s"
"balanced","n"
"balanced scorecards","n"
"balances","n"
"banca","s"
"banca comercial","s"
"banca corporativa","s"
"banca de inversión","s"
"banca de negocios","s"
"banca empresarial","s"
"banca institucional","s"
"banca mayorista","s"
"banca minorista","s"
"banca patrimonial","s"
"banca por internet","s"
"banca por teléfono","s"
"banca privada","s"
"banca pyme","s"
"banca retail","s"
"banca y finanzas","s"
"bancaria","s"
"bancarias","s"
"bancario","s"
"bancarios","s"
"bancas","s"
"banco","s"
"banco a fin","s"
"banco continental","s"
"banco ripley","s"
"bancos","s"
"bancos locales","s"
"bandas","n"
"bandas salariales","s"
"bank","s"
"banking","s"
"bantotal","n"
"barreras","n"
"basada","n"
"basadas","n"
"basado","n"
"basados","n"
"basándose","n"
"base","n"
"base a normas","n"
"base de clientes","s"
"base de datos","s"
"base y actualizaciones","s"
"base y archivos","s"
"base y archivos utilizados","s"
"based","n"
"based on","n"
"bases","n"
"bases de datos","s"
"bases de indicadores","s"
"bases de información","s"
"bases y cronograma","s"
"basic","n"
"básica","n"
"básicas","n"
"básico","n"
"básicos","n"
"basilea","n"
"basis","n"
"bbdd","n"
"bbva","s"
"bbva continental","s"
"bcp","s"
"bcr","s"
"bcrp","s"
"bebidas","n"
"becas","s"
"benchmark","s"
"benchmarking","s"
"beneficio","s"
"beneficios","s"
"beneficios de acuerdo","s"
"beneficios de ley","s"
"beneficios esperados","s"
"beneficios sociales","s"
"bi","b"
"bibliográfica","n"
"biblioteca","n"
"bid","s"
"bienes","s"
"bienes adjudicados","n"
"bienes y servicios","s"
"bienes y servicios requeridos","s"
"bienestar","s"
"bienestar social","s"
"big","n"
"bilingüe","s"
"bloomberg","s"
"bloomberg a nivel","s"
"bloque","n"
"bloque de trabajo","n"
"bloqueo","n"
"bns","b"
"bodegas","n"
"boletas","n"
"boletas de pago","n"
"boletines","n"
"bolivia","n"
"bolsa","s"
"bolsa de valores","s"
"bonificaciones","n"
"bono","s"
"bono anual","s"
"bonos","s"
"book","n"
"bpo","n"
"brand","n"
"brasil","n"
"breca","n"
"brechas","s"
"brevete","n"
"brief","n"
"brinda","n"
"brinda","n"
"brinda soporte","n"
"brinda soporte","n"
"brindado","n"
"brindados","n"
"brindan","n"
"brindando","n"
"brindando apoyo","n"
"brindando asesoría","n"
"brindándoles","n"
"brindar","n"
"brindar","n"
"brindar apoyo","n"
"brindar asesoramiento","n"
"brindar asesoría","n"
"brindar asistencia","n"
