Texto,areas
"AFP Integra - Analista Senior de Riesgos de Inversión AFP Integra, la AFP de SURA en el Perú, se encuentra en la búsqueda de un Analista Senior de Riesgos de Inversión.
 
Funciones Principales:
-Monitorear la clasificación de riesgos por medio del historial de upgrades o downgrades y escala de ratings de corto y largo plazo para emisores de instrumentos de renta fija y renta variables y prevenir que entren en default.
-Controlar los límites regulatorios de inversión por riesgo de concentración por grupos económicos para la correcta asignación de recursos conjuntamente con el cumplimiento normativo.
-Realizar el análisis de riesgo de renta variable a través del diferencial entre valor en libros y valor en libros y valor razonable para monitorear la evolución del precio de mercado de los principales instrumentos.
-Aplicar metodologías de medición y control de riesgo inmobiliario, a través del análisis crediticio de las inversiones inmobiliarias.
-Realizar el cálculo de provisiones y requerimiento patrimonial de los títulos de crédito hipotecario negociable (TCHNs).
-Elaborar los reportes informativos por medio de reportes emitidos mensualmente e índices de gestión y control de riesgos para el directorio y gerencia general contribuyendo con la cultura de riesgos. -Deseable contar con estudios de postgrado referido a sus responsabilidades.
-Mínima de 3 años de experiencia en empresas del sector financiero y/o servicios realizando responsabilidades afines.

Conocimiento:
-Deseable conocimientos en Bloomberg","('F', 'P')"
"Category - Análisis Comercial - Análisis de información de mercado y elaboración de reportes semanales con indicadores de venta para los clientes.

- Análisis de venta, stocks, rentabilidad, ingresos de nuevos productos y totalidad de pre compra de clientes claves.

- Análisis del negocio por Categorías, Canales, Precios y de la competencia. Identificar oportunidades de negocio.

- Optimizar rotación, inventario y contribución de la marca para el cliente.

- Trabajar con el cliente las pre-ventas de temporadas futuras.

- Hacer seguimiento de las ventas en forma semanal y cumplimiento de metas.

-  Analizar KPIs de las cuentas para facilitar la toma decisiones.

- Evaluar el ROI de las actividades promocionales en tienda para tener un aprendizaje y saber con mayor precisión cuál es la mejor inversión. -Dominio de inglés a nivel avanzado.
- Dominio de Excel a nivel avanzado (expertise en tablas dinámicas).
- Experiencia mínima de un año en el análisis de información en retail.","('F', 'P')"
"Economista - Jefe de Finanzas 1. Planificar y supervisar la gestión de las Jefaturas de Crédito y Cobranza y Tesorería.
2. Planificar, controlar y hacer seguimiento continuo a la gestión de Cobranzas, de acuerdo a los índices e indicadores aprobados por la Gerencia General a nivel del presupuesto anual.
3. Administrar la Tesorería:	Administrar las relaciones de la empresa con los Bancos Supervisar la elaboración del flujo de caja mensual y los proyectados.
4. Presupuesto y Control de Gestión:	Liderar la elaboración de los presupuestos anuales, logrando el involucramiento de todas las Divisiones y Gerencias Corporativas, presentándolo a la Gerencia General.
5. Elaborar el Informe de Gestión Mensual  (control del presupuesto e Indicadores a nivel mensual).
6. Evaluar los proyectos, inversiones, compras de empresas y otros.
7. Encargado de Adquisiciones: Analizar, negociar y apoyar a la Gerencia en la adquisición de activos de alto valor. Y negociar y administrar la relación de la empresa con los Ajustadores y Cías. de Seguros. 
8. Participar en reuniones con Inversionistas nacionales o extranjeros, para generar otras oportunidades de negocio que fortalezcan al grupo como Empresa.	
9. Mantenerse actualizado respecto del movimiento del mercado e industria, para aprovechar las oportunidades que se presenten.	
10. Apoyar el desarrollo de proyectos, haciendo las mejores propuestas de financiamiento que hagan rentable los proyectos. 1. Bachiller o Titulado de la carrera de Economía.  
2. Conocimientos en Administración, Finanzas Corporativas y Operaciones Bancarias.
3. Contar con Diplomado en Finanzas. (Indispensable). 
4. Experiencia de 2 años en el cargo.
5. Manejo del idioma Ingles a nivel Intermedio.
6. Experiencia supervisando personal a cargo.
7. Mantener intachabilidad en su hoja de vida financiera. (Indispensable)
8. Contar con conocimientos en el SAP.","('F', 'P')"
"Especialista de Planeamiento y Control de Gestión •	Realizar el presupuesto General del Banco.
•	Realizar seguimiento presupuestario del Banco, Oficinas y Productos.
•	Realizar el seguimiento de la rentabilidad de clientes, productos, oficinas y canales.
•	Definir y realizar seguimiento a los indicadores de Gestión para medir el desempeño de las áreas de negocios.
•	Elaborar los reportes de Gestión del Banco.
•	Dar el mantenimiento de los aplicativos a través de macros de carga y generación de reportes.
•	Crear macros que faciliten la explotación de datos. •	Deseable post grado en Finanzas.
•	Mínimo 3 años de experiencia en la posición de analista o analista senior en áreas de Inteligencia de Negocios, Planeamiento Estratégico, Control de Gestión.
•	Dominio de bases de datos: QlikView /  SQL.
•	Dominio en la elaboración de Macros.
•	Excel avanzado.","('F', 'P')"
"Especialista de Riesgo Financiero y Operativo Realizar el seguimiento y control de la aplicación de las políticas y procedimientos para la administración de los riesgos financieros.
Elaborar propuestas de actualización del manual de gestión de riesgos de inversión y demás normativa interna relacionada.
Desarrollar, proponer y aplicar metodologías para la evaluación cualitativa y cuantitativa de los riesgos financieros.
Identificar, evaluar y controlar los riesgos de mercado y crédito del portafolio de inversiones de los fondos administrados.
Controlar el cumplimiento de los límites de inversión y de autonomía de inversión establecidos.
Analizar y evaluar el nivel de riesgo de las inversiones y, de corresponder, elaborar la respectiva propuesta de modificación.
Evaluar los riesgos de las propuestas de inversión y elaborar los informes respectivos. Experiencia laboral comprobable no menor de (03) años en actividades propias del cargo","('F', 'P')"
"Jefe de Finanzas y Control - Empresa de Servicios El cargo reporta a la Gerencia General, siendo responsable del manejo de los recursos financieros de la compañía y del cumplimiento oportuno de las obligaciones vigentes (administración del flujo de caja, flujo de deuda, créditos y cobranza, control presupuestal, control de costos). Le compete la elaboración, seguimiento y control del presupuesto anual de la empresa, siendo de su competencia el análisis financiero (estados de pérdidas y ganancias), la presentación de gastos y resultados, la consolidación, revisión y envío de comentarios mensuales, la elaboración del plan financiero trimestral.  Su labor incluye las negociaciones bancarias y el control de presupuesto anual, asegurando que los estándares del servicio financiero y de control estén  alineados con las políticas de la empresa. Lugar de Trabajo: Lima.

Conocimientos Específicos: En planeamiento y control financiero, Cumplimiento Tributario, Presupuestos, Control de Costos, con buen manejo de bancos. Dominio avanzado del Excell.

Tiempo  y tipo de experiencia en puesto similar: Más de tres años en desempeño de puesto similar en el área de Finanzas y Control de Gestión, familiarizado con la planificación y el control de operaciones financieras en empresas del sector servicios.

Idioma Inglés	Intermedio avanzado.","('F', 'P')"
"ANALISTA DE CUMPLIMIENTO - Preparar análisis y matrices de riesgos de LAFT.
- Implementar procedimientos y controles derivados de dicho análisis, así como realizar seguimientos a los mismos.
- Implementar y cumplir procedimientos reforzados sobre clientes de alto riesgo, lo cual es de interés de la SBS y será exigido en sus próximas visitas.
- Analizar y preparar reportes e información sobre clientes a fin de establecer grados de 
Preparar y realizar inducciones y capacitaciones al personal de la empresa.
- Preparar la información que sustente el cumplimiento de las normas, la cual deberá ser presentada en las auditorías internas, externas y de la SBS.
- El área de Cumplimiento es la responsable de implementar las disposiciones de Foreign Account Tax Compliance Act (FATCA) en la compañía. El analista realizará labores destinadas a implementar eficazmente la norma. ","('F', 'P')"
"Analista de Planeamiento Comercial • Elaborar los análisis de la eficiencia y eficacia del modelo comercial, para generar aprendizajes e implementar planes de mejora de los procesos involucrados.

• Planificar reuniones de refuerzo y entrenamiento en el Modelo Comercial.

• Elaborar análisis ad hoc de acuerdo a necesidad que faciliten la toma de decisiones respecto del modelo comercial.

• Realizar las capacitaciones del Modelo comercial al callcenter, al nuevo personal de ventas y administrativo.

• Elaboración de análisis  de Resultados de modelo comercial por ciclo de venta.

• Preparación mensual de indicadores de resultados BSC del área.

• Preparación de indicadores de resultados Latam (ciclal)

• Garantizar la correcta comunicación del Modelo comercial por diferentes canales (Consultoría, Intranet, Folletos, etc.) a la fuerza de ventas y stakeholders.  2 años en áreas comerciales y gestión de proyectos comerciales interdisciplinario.
Cursos: BSC(deseable), Proyectos (indispensable) ó gestión comercial (deseable).","('F', 'P')"
"Analista Sr. de Créditos y Cobranzas •	Evaluar a los clientes y realizar la asignación de líneas de crédito según el análisis de  riesgo, análisis del mercado e historial de pagos.
•	Supervisar las cobranzas, realizar la negociación de pagos con clientes, refinanciar deudas, etc. Resolver posibles objeciones, reclamos o quejas de los clientes internos y externos.
•	Mantener relaciones fluidas con clientes y fuerza de ventas atendiendo a los valores éticos de la compañía.
•	Dirigir y controlar el proceso de cobranza de los clientes.
•	Planificar, dirigir y controlar las cuentas morosas de la cartera reduciendo el índice de morosidad de los clientes.
•	Asegurar de que la cobranza quede diariamente aplicada en el sistema.
•	Planificar estrategias mensuales, fijando las metas de cobranza y morosidad para los ejecutivos de ventas.
•	Presentación de Informes, reportes a la Gerencia, Contabilidad y Finanzas, indicadores de cobranzas, morosidad en el área de Créditos y Cobranzas.
•	Planificar, dirigir y controlar el proceso de otorgación de Créditos a clientes.
•	Asesorar a todas las áreas en la preparación de su presupuesto y la correcta asignación de costos y gastos.
•	Preparación y actualización del presupuesto de la empresa, las proyecciones de resultados y los demás EE FF de la empresa.
•	Identificar mediante el análisis oportunidades de mejora en procesos y eficiencias que permitan la optimización de costos y gastos. •	Conocimientos: Excel a nivel avanzado, manejo de sistemas ERP. 
•	Experiencia: no menor a  3 años en puestos similares.","('F', 'P')"
"Asesor de Inversiones • Identificar la necesidad del cliente a través del perfil de inversión, brindando una asesoría especializada mediante una propuesta de inversión.
• Actualización de conocimientos en temas de inversión.
• Revisión y monitoreo, seguimiento del portafolio sugerido de Renta Variable, venta cruzada de productos, alineación al asset allocation. • Diplomado culminado o en curso orientado a Negocios.
• Conocimientos a profundidad de los productos del pasivo.
• Conocimientos del idioma inglés a nivel intermedio.
• Conocimientos sólidos en Fondos Mutuos.
• Mínimo 02 años gestionando cartera de clientes del segmento Premium, Banca Privada o Banca exclusiva y/o experiencia sólida como Asistente Banca Privada, afines.","('F', 'P')"
"Becario Comercial Lima 1. Apoyo en el ingreso de contratos, creación de órdenes de embarque, administración de la documentación de embarque y apoyo en generación de reportes de venta.
2. Apoyo en la coordinación y programación de despachos con áreas operativas, proveedores logísticos, de aduanas, transportistas y clientes.
3. Apoyo en la revisión y verificación de términos contractuales para la facturación provisional y/o final. No necesaria.","('F', 'P')"
"Encargado de Administración (Banco de Libros – Biblioteca) 1. Planificar, dirigir y supervisar el funcionamiento del Banco del Libro, de acuerdo a los requerimientos propios del servicio que se presta a los alumnos PUCP.
2. Programar las actividades anuales y semestrales.
3. Coordinar los requerimientos académicos relativos al uso de libros, así como con la Dirección del Sistema de Bibliotecas PUCP y demás autoridades relacionadas con el servicio que presta.
4. Planificar y disponer la compra de libros y publicar el catálogo semestral del Banco del Libro.
5. Coordinar y dirigir el funcionamiento del sistema de préstamo de libros, su devolución y eventual remate de libros, así como decidir sobre el valor del alquiler y el de los libros a rematarse.
6. Elaborar la rendición de cuentas a la Dirección del Sistema de Bibliotecas y a la Dirección de Servicios Económicos (Contabilidad y Tesorería).
7. Propugnar la firma de convenios con instituciones externas a fin de ampliar la cobertura de títulos y difundir el sistema del Banco del Libro en otras instituciones educativas.
8. Organizar, eventualmente, actividades orientadas a estimular la lectura en los estudiantes (Concurso de ensayo: El libro en la cultura humana y el Club de lectura).
9. Elaborar, hacer seguimiento y controlar el presupuesto de la Sección.
10. Realizar otras funciones complementarias o afines que le sean designadas por su superior inmediato. ","('F', 'P')"
"Practicante de Finanzas y Gobierno Corporativo •	Recopilación, procesamiento y análisis de información cualitativa y cuantitativa: La recopilación de información se aborda a través de la interacción con clientes, la revisión de documentación interna y la búsqueda de información pública. Posteriormente la misma es procesada en conjunto con los demás consultores con el objetivo de generar conclusiones que se traduzcan en acciones específicas.
•	Asistencia en el desarrollo de publicaciones: Periódicamente se realizan estudios relacionados a mercados financieros y de capitales que son publicados en diarios y revistas de reconocido prestigio. 
•	Asistencia en el desarrollo de proyectos: En su mayoría, los mismos están dirigidos a identificar ámbitos de mejora en materia de mejores prácticas de Gobierno Corporativo, y eventualmente guiar su implementación. Ello aplica tanto para entidades públicas y privadas. No es necesaria.","('F', 'P')"
"Analista Control de Gastos - Asegurar el control del presupuesto de gastos operativos (generales, personal, depreciación y  amortización), extraordinarios e inversiones de capital (activo fijo e intangibles).
- Interactuar con los responsables de CDRS y Administradores de Gastos (Unidades Especializadas) en la administración (contabilización, asignación de gastos) de su presupuesto. Efectuar análisis de las principales variaciones.
- Apoyar en la  elaboración del presupuesto anual  y forecast de gastos operativos, extraordinarios e inversiones de capital con los Administradores de Gasto (Unidades Especializadas).
- Participar en la definición de criterios de distribución y asignación de gastos operativos, extraordinarios e inversiones de capital hacia unidades de negocio y CDRS.
- Efectuar la evaluación del desempeño operativo de los canales y producto del Banco (Modelo de Asignación de Costos). Efectuar análisis de las principales variaciones.
- Preparar información para el Comité de Gastos y Eficiencia, y Unidades Especializadas. ","('F', 'P')"
"Analista de Negocios - Banca Empresa (Chimbote) Ejecutar transacciones financieras.
Apoyar al Funcionario de Negocios en la ejecución de créditos.
Gestionar las solicitudes diarias de los clientes adelantándome a sus necesidades.
Apoyar al Funcionario de Negocios en los contactos de venta.
Administrar la cartera asignada. ","('F', 'P')"
"CONTABILIDAD •Monitoriar y controlar el movimiento de todas las ventas así como los saldos en Puntos de Venta y Almacén Central.
•Firmar los compromisos de pago con distribuidores y promotoras.
•Revisar la facturación y control de cuentas por cobrar al personal por responsabilidades de inventarios
•Controlar de cartera con los canales de subfranquicias, distribuidores, promotoras, clientes y personal
•Ser responsable desde el punto de vista contable de las ventas, así como los costos e impuestos que generan las mismas
•Realizar inventarios físicos en toda la compañía: Mínimo 4 veces al año
•Registrar ajustes y bajas de inventarios.
•Registrar comprobantes de ventas, costos de ventas y ajustes.
•Generación de Informes Mensuales.
•Realizar cierres del canal en consignación y sus respectivos compromisos de pago.
•Elaboración de inventarios.
•Control del Débito fiscal originado por las ventas.
•Registro contable de costos y ventas diarias / mensuales.
•Apoyarán en todos los temas operativos y administrativos que requiera el jefe inmediato. ","('F', 'P')"
